#,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
1,課本格式表「收件者」一欄要填寫嘅係咩？,發文者嘅電郵地址,郵件嘅標題,受文者嘅電郵地址,附件嘅檔案名稱,15,3
2,課本格式表話「收件者」係重要信息。如果寫錯受文者資料，會有咩後果？,無法達到溝通目的,郵件會自動被系統刪除,附件會自動遺失,系統會自動轉寄畀其他人,15,1
3,課本格式表「發件者」一欄要填嘅係咩？,受文者嘅電郵地址,發文者嘅電郵地址,收件者嘅姓名同職銜,郵件嘅主旨,15,2
4,課本格式表：「主旨」即郵件嘅咩？課本對佢有咩要求？,郵件嘅第一句；要詳細交代事情,附件嘅名稱；要列齊所有文件,發件者嘅姓名職銜；要用全名,郵件嘅標題；要簡明扼要，概括郵件核心內容,15,4
5,課本格式表「副本抄送」一欄要輸入嘅係咩？,發文者自己嘅電郵地址,密件副本嘅受文人電郵地址,接收副本嘅受文人電郵地址,郵件嘅主旨,15,3
6,課本格式表「密件副本」一欄要輸入嘅係咩？,接收副本嘅受文人電郵地址,接收密件副本嘅受文人電郵地址,發文者嘅電郵地址,郵件嘅主旨,15,2
7,課本注意事項：收到「副本」嘅受文人，需要做咩？,只需知悉，無需執行工作,負責回覆同跟進,代為執行相關工作,負責審批文件,15,1
8,課本格式表話「附件」即郵件夾附嘅文件。課本話幾時要在「附件」一欄標注文件名稱？,每次發電郵都一定要標注,只有寄件給上司時,有抄送副本嘅時候,正文提及附上文件時,15,4
9,課本內容大綱：電郵「上款」即稱謂；咁「下款」包括邊兩部分？,稱謂同主旨,引言同結尾,自稱同署名,日期同時間,15,3
10,課本內容大綱：正文嘅「引言」要寫咩？,需要對方跟進嘅具體事宜,自我介紹及交代寫作目的,聯絡方法供查詢之用,附件嘅名稱同數量,15,2
11,課本內容大綱：正文嘅「主體」要寫咩？,只寫自我介紹同職銜,只寫聯絡方法,只列出附件名稱,需要對方跟進嘅具體事宜，以及提醒對方需注意嘅事項,15,4
12,課本內容大綱：正文嘅「結尾」要寫咩？,附上聯絡方法（姓名、電話號碼）供查詢之用,重複一次主旨嘅內容,再次填寫收件者嘅電郵地址,列出所有副本收件人,15,1
13,課本情景：「你是非凡科技公司的行政助理張浩然。」呢封電郵嘅發文者（寫信人）係邊個？,方總監,副經理何文傑,行政助理張浩然,參觀團聯絡人吳女士,15,3
14,課本任務：題目要求你撰寫一封簡短電郵畀邊個？,方總監,副經理何文傑,參觀團聯絡人吳女士,生產部主管,15,2
15,課本任務：呢封電郵除咗發畀何副經理，仲要抄送副本畀邊個？,參觀團聯絡人吳女士,廣州專上學院,生產部全體同事,方總監,15,4
16,課本資料一對話：方總監點解要請何副經理代為跟進工作？,他臨時要去澳門參加為期兩天嘅會議,他要留在公司與供應商簽約,他要請病假休息,他要親自接待參觀團,15,1
17,課本資料二：12/11（二）下午方總監原定嘅工作係咩？,上午與供應商簽約（8:30-9:30）,接待參觀團（10:00-12:00）,主持研發部會議（14:00-16:00，8樓會議室）,前往澳門出席會議,15,3
18,課本資料二：13/11（三）上午方總監原定接待邊個團體？,澳門科技大學代表團,廣州專上學院資訊科技系師生代表團,深圳職業學院師生代表團,北京大學訪問團,15,2
19,課本示範文章：12/11 嘅研發部會議點解要由下午改到上午？,方總監提早返港,8樓會議室下午要維修,供應商臨時改期,何副經理當日下午需出席生產部例會,15,4
20,課本參考答案：電郵要提醒何副經理做咩？,待方總監回公司後匯報相關工作嘅進展,提早半小時到達會場,記得帶齊所有文件,代為回覆供應商,15,1
21,課本註明：以上要點必須用文字段落表達。如以列點方式表達、沒有完整句子，評級不得高於？,B級,D級,F1,不評級,15,3
